Date_dec,date_dec_yearly,date_dec_weekly,RentedBikeCount,Hour,Temperature,Humidity,WindSpeed,Visibility,Visibility_2000_or_more,DewPointTemperature,SolarRadiation,Rainfall,Snowfall,Seasons_Winter,Seasons_Summer,Seasons_Autumn,Seasons_Spring,Holiday,FunctioningDay
2017.9167,0.9167,6,254,0,-5.2,37,2.2,2000,1,-17.6,0,0,0,1,0,0,0,0,1
2017.9167,0.9167,6,204,1,-5.5,38,0.8,2000,1,-17.6,0,0,0,1,0,0,0,0,1
2017.9167,0.9167,6,173,2,-6,39,1,2000,1,-17.7,0,0,0,1,0,0,0,0,1
2017.9167,0.9167,6,107,3,-6.2,40,0.9,2000,1,-17.6,0,0,0,1,0,0,0,0,1
2017.9167,0.9167,6,78,4,-6,36,2.3,2000,1,-18.6,0,0,0,1,0,0,0,0,1
2017.9167,0.9167,6,100,5,-6.4,37,1.5,2000,1,-18.7,0,0,0,1,0,0,0,0,1
2017.9167,0.9167,6,181,6,-6.6,35,1.3,2000,1,-19.5,0,0,0,1,0,0,0,0,1
2017.9167,0.9167,6,460,7,-7.4,38,0.9,2000,1,-19.3,0,0,0,1,0,0,0,0,1
2017.9167,0.9167,6,930,8,-7.6,37,1.1,2000,1,-19.8,0.01,0,0,1,0,0,0,0,1
2017.9167,0.9167,6,490,9,-6.5,27,0.5,1928,0,-22.4,0.23,0,0,1,0,0,0,0,1
2017.9167,0.9167,6,339,10,-3.5,24,1.2,1996,0,-21.2,0.65,0,0,1,0,0,0,0,1
2017.9167,0.9167,6,360,11,-0.5,21,1.3,1936,0,-20.2,0.94,0,0,1,0,0,0,0,1
2017.9167,0.9167,6,449,12,1.7,23,1.4,2000,1,-17.2,1.11,0,0,1,0,0,0,0,1
2017.9167,0.9167,6,451,13,2.4,25,1.6,2000,1,-15.6,1.16,0,0,1,0,0,0,0,1
2017.9167,0.9167,6,447,14,3,26,2,2000,1,-14.6,1.01,0,0,1,0,0,0,0,1
2017.9167,0.9167,6,463,15,2.1,36,3.2,2000,1,-11.4,0.54,0,0,1,0,0,0,0,1
2017.9167,0.9167,6,484,16,1.2,54,4.2,793,0,-7,0.24,0,0,1,0,0,0,0,1
2017.9167,0.9167,6,555,17,0.8,58,1.6,2000,1,-6.5,0.08,0,0,1,0,0,0,0,1
